Date,Close,Open,High,Low,Vol.,Change %,LogRet
2019-09-26,1993.49,"1,995.99","2,000.67","1,990.01",-,-0.04%,-0.0003861826892714859
2019-09-27,1990.43,"1,991.87","1,999.68","1,982.89",-,-0.15%,-0.001536175727302691
2019-09-30,1997.89,"1,989.61","2,001.44","1,987.99",-,0.37%,0.003740927859318788
2019-10-01,1980.65,"1,998.13","2,004.25","1,979.83",-,-0.86%,-0.00866654999401284
2019-10-02,1938.33,"1,978.29","1,978.54","1,932.82",-,-2.14%,-0.021598296051125843
2019-10-03,1947.72,"1,936.22","1,948.34","1,920.78",-,0.48%,0.004832680112259347
2019-10-04,1973.67,"1,948.53","1,974.50","1,948.18",-,1.33%,0.013235296061162138
2019-10-07,1969.59,"1,973.04","1,980.01","1,969.31",-,-0.21%,-0.002069354521871958
2019-10-08,1945.75,"1,970.42","1,972.02","1,945.72",-,-1.21%,-0.012177892404772628
2019-10-09,1960.53,"1,945.73","1,964.78","1,945.10",-,0.76%,0.00756733799463305
2019-10-10,1974.82,"1,960.75","1,979.95","1,959.82",-,0.73%,0.0072624101071525615
2019-10-11,1999.79,"1,977.01","2,009.19","1,976.39",-,1.26%,0.012564920087913656
2019-10-14,1995.99,"2,000.28","2,000.84","1,992.82",-,-0.19%,-0.001902007190377475
2019-10-15,2013.96,"1,998.48","2,018.18","1,997.70",-,0.90%,0.008962765269268758
2019-10-16,2013.59,"2,014.76","2,018.46","2,011.46",-,-0.02%,-0.0001837345289521508
2019-10-17,2018.14,"2,013.04","2,026.25","2,011.35",-,0.23%,0.0022570965474670857
2019-10-18,2010.84,"2,017.29","2,019.35","2,005.94",-,-0.36%,-0.003623749925969477
